"Geography","Percent..COMMUTING.TO.WORK...Car..truck..or.van....drove.alone","Percent..COMMUTING.TO.WORK...Car..truck..or.van....carpooled","Percent..COMMUTING.TO.WORK...Public.transportation..excluding.taxicab.","Percent..COMMUTING.TO.WORK...Walked","Percent..COMMUTING.TO.WORK...Other.means","Percent..COMMUTING.TO.WORK...Worked.at.home","Estimate..COMMUTING.TO.WORK...Mean.travel.time.to.work..minutes."
"Gary city, Indiana","84.2","7.1","2.2","2.3","1.6","2.5",23.7
"Hammond city, Indiana","80.2","9.5","5.7","2.4","0.2","2.1",28.2
"Indianapolis city (balance), Indiana","80.3","10.8","2.3","2.0","1.7","2.9",22.9
"Lafayette city, Indiana","82.4","9.7","2.8","2.3","1.8","1.2",17.1
"Muncie city, Indiana","73.6","11.4","3.2","7.0","1.4","3.4",19.5
"South Bend city, Indiana","79.4","9.0","2.3","4.2","2.6","2.5",18.9
"Cedar Rapids city, Iowa","80.5","8.6","1.6","3.2","2.1","4.0",18.3
"Davenport city, Iowa","84.5","8.6","0.1","2.3","1.8","2.7",16.7
"Des Moines city, Iowa","79.6","11.6","1.9","2.2","1.3","3.4",18.6
"Iowa City city, Iowa","54.8","10.3","8.8","17.6","5.2","3.3",17.2
"Sioux City city, Iowa","86.0","6.7","0.9","0.6","2.7","3.1",17.1
"Waterloo city, Iowa","83.1","10.8","0.9","2.3","1.9","1.1",13.7
"Kansas City city, Kansas","82.1","12.2","2.2","1.2","1.1","1.2",20.8
"Lawrence city, Kansas","76.2","10.5","2.5","5.1","1.1","4.5",19.2
"Olathe city, Kansas","84.0","7.6","0.3","1.1","1.0","6.1",21.6
"Overland Park city, Kansas","84.0","9.0","0.4","0.8","0.8","5.1",20.4
"Topeka city, Kansas","80.3","13.2","1.3","1.3","0.8","3.1",15.1
"Wichita city, Kansas","84.0","9.1","0.8","1.3","1.6","3.2",17.8
"Lexington-Fayette urban county, Kentucky","80.5","9.5","1.0","4.2","1.7","3.1",19.1
"Louisville/Jefferson County metro government (balance), Kentucky","81.0","8.8","3.2","2.3","1.3","3.4",22.4
"Baton Rouge city, Louisiana","81.0","10.1","2.5","3.2","0.9","2.4",21.3
"Kenner city, Louisiana","77.5","15.1","2.0","3.2","0.2","2.0",27.3
"Lafayette city, Louisiana","77.9","13.4","0.4","2.8","2.6","2.9",19.2
"Lake Charles city, Louisiana","81.1","11.8","0.6","3.1","1.7","1.7",18.9
"Metairie CDP, Louisiana","84.7","7.1","1.2","1.4","2.9","2.7",20.8
"New Orleans city, Louisiana","71.1","10.0","6.6","4.7","4.1","3.5",22.8
"Shreveport city, Louisiana","84.5","6.8","1.7","1.3","2.8","2.8",18.8
"Portland city, Maine","65.7","7.7","3.0","14.7","2.8","6.1",18
"Baltimore city, Maryland","58.9","9.0","19.2","6.8","2.5","3.4",30.6
"Columbia CDP, Maryland","80.3","7.9","3.9","1.4","0.7","5.7",28.7
"Ellicott City CDP, Maryland","83.2","6.9","1.9","0.7","0.3","6.9",29.7
"Frederick city, Maryland","71.3","11.3","3.2","5.1","1.5","7.7",33.9
"Germantown CDP, Maryland","72.2","12.1","11.5","1.2","0.4","2.6",36.3
"Glen Burnie CDP, Maryland","83.6","10.6","1.8","1.1","0.9","1.9",28.1
"Silver Spring CDP, Maryland","52.0","9.0","30.1","4.0","1.6","3.3",33
"Waldorf CDP, Maryland","79.1","10.3","7.5","1.0","0.3","1.8",41.9
"Boston city, Massachusetts","36.6","7.2","34.6","15.5","2.8","3.3",29.8
"Brockton city, Massachusetts","80.9","9.0","4.3","3.3","1.7","0.8",28.3
"Cambridge city, Massachusetts","31.0","3.5","24.5","24.5","10.0","6.5",24.4
"Fall River city, Massachusetts","81.2","11.5","2.3","3.9","0.1","1.1",24.1
"Framingham CDP, Massachusetts","77.7","8.9","4.2","4.8","1.5","2.8",27.1
"Lawrence city, Massachusetts","64.1","18.7","3.4","4.0","7.4","2.4",21.8
"Lowell city, Massachusetts","74.4","13.5","3.6","4.4","1.4","2.8",24.9
"Lynn city, Massachusetts","64.6","7.7","12.1","6.1","5.8","3.6",26.8
"New Bedford city, Massachusetts","73.9","14.9","2.4","5.8","1.2","1.8",23.3
"Newton city, Massachusetts","62.9","9.0","12.9","5.2","2.0","8.1",26.4
"Quincy city, Massachusetts","63.2","9.9","20.8","2.6","0.9","2.6",33.4
"Somerville city, Massachusetts","41.0","8.9","30.4","12.5","3.9","3.3",27.8
"Springfield city, Massachusetts","74.2","10.5","6.3","3.0","1.0","4.9",22.4
"Worcester city, Massachusetts","73.4","10.5","4.3","7.2","1.2","3.4",23.6
"Ann Arbor city, Michigan","55.9","7.3","10.0","15.5","5.1","6.1",19.3
"Dearborn city, Michigan","85.8","9.5","0.2","2.0","0.9","1.7",20.1
"Detroit city, Michigan","68.1","13.4","9.4","3.7","2.2","3.1",26.1
"Farmington Hills city, Michigan","80.3","10.7","0.2","1.9","1.9","5.0",24.3
